Facility,State,name,Date,Source,cases,staffcases,deaths,staffdeaths,pop,currentpop,lat,lon
state,Alabama,ALABAMA HEADQUARTERS,4/23/2021,http://www.doc.alabama.gov/covid19news,0,72,0,0,,,,
state,Alabama,ALABAMA TREATMENT AND EDUCATION FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,11,2,1,0,281,,33.18100499,-86.62401724
state,Alabama,ALEX CITY COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,77,17,0,0,201,,32.90447114,-86.00896897
federal,Alabama,ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,105,,0,0,1267,1089,33.17626974,-88.19304609
state,Alabama,BIBB CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,164,61,3,0,1808,,32.92242,-87.16458
state,Alabama,BIRMINGHAM COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,17,28,0,0,239,,33.53104632,-86.80836181
state,Alabama,BULLOCK CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,163,80,5,1,1343,,32.14940285,-85.67232013
state,Alabama,CAMDEN COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,5,3,0,0,93,,31.99483708,-87.33312321
state,Alabama,CHILDERSBURG COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,5,14,0,0,368,,33.36493323,-86.33219762
state,Alabama,DONALDSON CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,45,26,2,0,1386,,33.51366663,-87.18478369
state,Alabama,DRAPER QUARANTINE INTAKE FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,132,0,0,0,,,,
state,Alabama,EASTERLING CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,72,47,2,0,1229,,31.68938149,-85.58555889
state,Alabama,ELBA COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,1,8,0,0,130,,31.41312386,-86.08373748
state,Alabama,ELMORE CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,28,18,0,0,1161,,32.57430479,-86.32080582
state,Alabama,FOUNTAIN CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,29,47,1,0,1136,,31.15658,-87.46372
state,Alabama,FRANK LEE COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,26,22,0,0,285,,32.58235451,-86.39221844
state,Alabama,HAMILTON AGED AND INFIRMED,4/23/2021,http://www.doc.alabama.gov/covid19news,49,41,14,0,243,,34.12434611,-87.99171938
state,Alabama,HAMILTON COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,8,21,2,0,220,,34.14329559,-87.95895958
state,Alabama,HOLMAN CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,39,33,2,0,700,,31.13438612,-87.4498642
state,Alabama,KILBY CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,25,44,2,0,1231,,32.38835654,-86.1009811
