FACILITY_ID,FACILITY,AGENCY,LATITUDE,LONGITUDE,VIOLATIONTYPE,VIOLATIONSUBTYPE,VIOLATIONDESCRIPTION,OCCURREDON,PROGRAM,PROGRAM CATEGORY,Parameter,Limit,Result,Units,Period,Monitoring Location,Location 1
248425,Pine Grove Conservation Camp,Ca Dept of Forestry Pine Grove,38.41397,-120.64382,Deficient Monitoring,,"April 2006 report included results of flow, pH, dissolved oxygen, nitrate, and total nitrogen monitoring for only one pond",04/30/2006,WDRMUNIENROTH,WDR,,,,,,,"(38.41397, -120.64382)"
248425,Pine Grove Conservation Camp,Ca Dept of Forestry Pine Grove,38.41397,-120.64382,Deficient Monitoring,,"February 2006 report included results of flow, pH, dissolved oxygen, nitrate, and total nitrogen monitoring for only one pond",02/28/2006,WDRMUNIENROTH,WDR,,,,,,,"(38.41397, -120.64382)"
248425,Pine Grove Conservation Camp,Ca Dept of Forestry Pine Grove,38.41397,-120.64382,Order Conditions,,Effluent flow limitation was exceeded on 6 April 2006,04/06/2006,WDRMUNIENROTH,WDR,,,,,,,"(38.41397, -120.64382)"
213586,CCI Tehachapi UST Cleanup,Ca Dept of Corrections Sacramento,35.11028,-118.57139,Effluent,OEV,1Q; MTBE; 5; ug/L; M; 14,03/16/2007,WDRNONMUNIPRCS,WDR,,,,,,,"(35.11028, -118.57139)"
219551,Delta Conservation Camp,Ca Dept of Forestry Suisun,38.220175,-121.849365,Reporting,Deficient Reporting,December 2006 SMR missing required certification statement.,01/16/2007,WDR,WDR,,,,,,,"(38.220175, -121.849365)"
219551,Delta Conservation Camp,Ca Dept of Forestry Suisun,38.220175,-121.849365,Reporting,Deficient Reporting,March 2006 SMR missing required certification statement.,04/16/2006,WDR,WDR,,,,,,,"(38.220175, -121.849365)"
219551,Delta Conservation Camp,Ca Dept of Forestry Suisun,38.220175,-121.849365,Reporting,Deficient Reporting,July 2008 SMR missing required certification statement,08/16/2008,WDR,WDR,,,,,,,"(38.220175, -121.849365)"
213586,CCI Tehachapi UST Cleanup,Ca Dept of Corrections Sacramento,35.11028,-118.57139,Effluent,OEV,1Q; MTBE; 5; ug/L; M; 89,03/02/2005,WDRNONMUNIPRCS,WDR,,,,,,,"(35.11028, -118.57139)"
213586,CCI Tehachapi UST Cleanup,Ca Dept of Corrections Sacramento,35.11028,-118.57139,Effluent,OEV,2Q; MTBE; 5; ug/L; M; 34,04/24/2007,WDRNONMUNIPRCS,WDR,,,,,,,"(35.11028, -118.57139)"
225896,"Fire Camp #11, Acton",Los Angeles Cnty Fire Dept,34.439211,-118.286201,Receiving Water,Groundwater,Total Dissolved Solids (TDS) Daily Maximum limit is 550 mg/L and reported value was 588 mg/L.,02/17/2009,WDRMUNIOTH,WDR,,,,,,,"(34.439211, -118.286201)"
213586,CCI Tehachapi UST Cleanup,Ca Dept of Corrections Sacramento,35.11028,-118.57139,Effluent,OEV,1Q; MTBE; 5; ug/L; M; 64,03/07/2007,WDRNONMUNIPRCS,WDR,,,,,,,"(35.11028, -118.57139)"
225896,"Fire Camp #11, Acton",Los Angeles Cnty Fire Dept,34.439211,-118.286201,Receiving Water,Groundwater,Total Dissolved Solids (TDS) Daily Maximum limit is 550 mg/L and reported value was 592 mg/L.,02/17/2009,WDRMUNIOTH,WDR,,,,,,,"(34.439211, -118.286201)"
232555,Intermountain Conservation Camp,Ca Dept of Forestry Bieber Calfire,41.12307,-121.21934,Deficient Monitoring,,"No flow data, late",10/01/2004,WDR,WDR,,,,,,,"(41.12307, -121.21934)"
271750,Washington Ridge Cons. Camp,Ca Dept of Forestry Nevada City,39.313734,-120.926927,Receiving Water,Groundwater,(2Q07 Monitoring Report) Total coliform organisms reported in groundwater monitoring wells at concentrations greater than 2.2 MPN/100 ml which exceeds the groundwater limitation in the WDRs.,08/02/2007,WDR,WDR,,,,,,,"(39.313734, -120.926927)"
259335,Sugar Pine Conservation Camp,Ca Dept of Forestry Sugar Pine,40.728846,-122.077262,Order Conditions,,Freeboard VIolation,07/05/2005,WDRMUNIOTH,WDR,,,,,,,"(40.728846, -122.077262)"
232555,Intermountain Conservation Camp,Ca Dept of Forestry Bieber Calfire,41.12307,-121.21934,Deficient Monitoring,,"No flow data, late",07/01/2004,WDR,WDR,,,,,,,"(41.12307, -121.21934)"
232555,Intermountain Conservation Camp,Ca Dept of Forestry Bieber Calfire,41.12307,-121.21934,Deficient Monitoring,,No flow data,10/01/2005,WDR,WDR,,,,,,,"(41.12307, -121.21934)"
271750,Washington Ridge Cons. Camp,Ca Dept of Forestry Nevada City,39.313734,-120.926927,Reporting,Late Report,4th Quarter-07 monitoring report was not submitted,02/02/2008,WDR,WDR,,,,,,,"(39.313734, -120.926927)"
232555,Intermountain Conservation Camp,Ca Dept of Forestry Bieber Calfire,41.12307,-121.21934,Deficient Monitoring,,"No flow data, late",04/01/2004,WDR,WDR,,,,,,,"(41.12307, -121.21934)"
